SentenceID,Season,Episode,Sentence
1,2,The_Ricks_Must_Be_Crazy,"This article is a transcript of the Rick and Morty episode The Ricks Must Be Crazy from Season 2. It aired on August 30, 2015.
"
2,2,The_Ricks_Must_Be_Crazy,"walking away from Egan Cinema
"
3,2,The_Ricks_Must_Be_Crazy,"Morty: Geez, I can't believe we found a version of Earth with a Ball Fondlers movie franchise.
"
4,2,The_Ricks_Must_Be_Crazy,"Summer: I can't believe the things this reality considers PG-13
"
5,2,The_Ricks_Must_Be_Crazy,"Morty: Yeah, I'm pretty jealous.
"
6,2,The_Ricks_Must_Be_Crazy,"Rick: Don't be Morty, there are pros and cons to every reality, fun facts about this one; it's got giant telepathic spiders, eleven 9/11's, aaaand the best ice cream in the multiverse!
"
7,2,The_Ricks_Must_Be_Crazy,"Summer: Shut up!
Morty: W-whoa!
"
8,2,The_Ricks_Must_Be_Crazy,"Rick: We're gonna go get some ice-cream motherfuckers!
"
9,2,The_Ricks_Must_Be_Crazy,"car does not start
"
10,2,The_Ricks_Must_Be_Crazy,"Rick: Oh great.
"
11,2,The_Ricks_Must_Be_Crazy,"Morty: Oh boy. W-what's wrong Rick, is it the quantum carburettor or something?
"
12,2,The_Ricks_Must_Be_Crazy,"Rick: Quantum carburettor? Jesus Morty; you can't just add a sci fi word to a car word and hope it means something.
Huh, it looks like something's wrong with the microverse battery - we're going to have to go inside.
"
13,2,The_Ricks_Must_Be_Crazy,"Morty: Uhm. Go inside what?
"
14,2,The_Ricks_Must_Be_Crazy,"Rick: The battery Morty.
Be right back Summer; stay put, don't touch any buttons, and ignore all random thoughts that feel -- spider-y.
"
15,2,The_Ricks_Must_Be_Crazy,"Summer: Wait! You can't leave me here!
"
16,2,The_Ricks_Must_Be_Crazy,"Rick: You'll be fine. Ship, keep Summer safe.
"
17,2,The_Ricks_Must_Be_Crazy,"Ship: Keep. Summer. Safe.
"
18,2,The_Ricks_Must_Be_Crazy,"Summer: Egh, wonderful.
"
19,2,The_Ricks_Must_Be_Crazy,"Man with scar across his face and a ponytail approaches the car
"
20,2,The_Ricks_Must_Be_Crazy,"Man: Hey, excuse me, hello?
"
21,2,The_Ricks_Must_Be_Crazy,"Summer: Uhmm...
"
22,2,The_Ricks_Must_Be_Crazy,"Man: What you think you're better than me? Nobody's better than me! Ey! ey!
"
23,2,The_Ricks_Must_Be_Crazy,"He is banging on the ship's window; the ship extends an arm from the back and cuts him into cubes with a laser
"
24,2,The_Ricks_Must_Be_Crazy,"Summer: Agh! Aghaaaa!
"
25,2,The_Ricks_Must_Be_Crazy,"Ship: Keep. Summer. Safe.
"
26,2,The_Ricks_Must_Be_Crazy,"Thinner Man: Hey man, what the hell! That was my daughter's paediatrician!
Uagha!
"
27,2,The_Ricks_Must_Be_Crazy,"the ship lifts him off the ground with an arm and prepares to kill him with another
"
28,2,The_Ricks_Must_Be_Crazy,"Summer: No! Stop, don't kill him!
"
29,2,The_Ricks_Must_Be_Crazy,"ship beeps
"
30,2,The_Ricks_Must_Be_Crazy,"Ship: Confirmed.
"
31,2,The_Ricks_Must_Be_Crazy,"ship fires a single red laser into his back, and drops him to the ground
"
32,2,The_Ricks_Must_Be_Crazy,"Thinner Man: Uaghuu. Ugh. Uh. Oh God! I can't feel my legs! Help! He-elp!
"
33,2,The_Ricks_Must_Be_Crazy,"Ship: Summer is safe.
"
34,2,The_Ricks_Must_Be_Crazy,"Summer curls into fetal position and starts crying
"
35,2,The_Ricks_Must_Be_Crazy,"Summer: I don't feel safe.
"
36,2,The_Ricks_Must_Be_Crazy,"Ship: Confirmed.
"
37,2,The_Ricks_Must_Be_Crazy,"ship reclines chair and begins playing soothing music
"
38,2,The_Ricks_Must_Be_Crazy,"the now paralysed man bangs on the door while crying
"
39,2,The_Ricks_Must_Be_Crazy,"Thinner Man: Oh God help me! Help me! help me please! You can help me.
"
40,2,The_Ricks_Must_Be_Crazy,"//intro plays
"
41,2,The_Ricks_Must_Be_Crazy,"Morty: Oh man. Where are we Rick?
"
42,2,The_Ricks_Must_Be_Crazy,"Rick: Morty, remember eight seconds ago when -burp- when you said 'go inside what' and I said 'the battery' and then we showed up here
"
